"year","title","venue","authors"
"0","AQR-toolkit: an adaptive query routing middleware for distributed data intensive systems","International Conference on Management of Data","Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang"
"0","TIP: a temporal extension to Informix","International Conference on Management of Data","Jun Yang, Huacheng C. Ying, Jennifer Widom"
"0","A goal-driven auto-configuration tool for the distributed workflow management system mentorlite","International Conference on Management of Data","Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum"
"0","MOCHA: a database middleware system featuring automatic deployment of application-specific functionality","International Conference on Management of Data","Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos, John M. McGann, Stephen Kelley, Vadim Katz, Zhexuan Song, Joseph J&#225;J&#225;"
"0","Image mining in IRIS: integrated retinal information system","International Conference on Management of Data","Wynne Hsu, Mong Li Lee, Kheng Guan Goh"
"0","Towards data mining benchmarking: a test bed for performance study of frequent pattern mining","International Conference on Management of Data","Jian Pei, Runying Mao, Kan Hu, Hua Zhu"
"0","Concept based design of data warehouses: the DWQ demonstrators","International Conference on Management of Data","M. Jarke, C. Quix, D. Calvanese, M. Lenzerini, E. Franconi, S. Ligoudistianos, P. Vassiliadis, Y. Vassiliou"
"0","AJAX: an extensible data cleaning tool","International Conference on Management of Data","Helena Galhardas, Daniela Florescu, Dennis Shasha, Eric Simon"
"0","i3: intelligent, interactive investigation of OLAP data cubes","International Conference on Management of Data","Sunita Sarawagi, Gayatri Sathe"
"0","javax.XXL: a prototype for a library of query processing algorithms","International Conference on Management of Data","Jochen van den Bercken, Jens-Peter Dittrich, Bernhard Seeger"
"0","FACT: a learning based Web query processing system","International Conference on Management of Data","Songting Chen, Yanlei Diao, Hongjun Lu, Zengping Tian"
"0","HOMER: a model-based CASE tool for data-intensive Web sites","International Conference on Management of Data","Paolo Merialdo, Paolo Atzeni, Marco Magnante, Giansalvatore Mecca, Marco Pecorone"
"0","SERFing the Web: web site management made easy","International Conference on Management of Data","Elke A. Rundensteiner, Kajal T. Claypool, Li Chen, Hong Su, Keiji Oenoki"
"0","WebView materialization","International Conference on Management of Data","Alexandros Labrinidis, Nick Roussopoulos"
"0","NiagaraCQ: a scalable continuous query system for Internet databases","International Conference on Management of Data","Jianjun Chen, David J. DeWitt, Feng Tian, Yuan Wang"
"0","The onion technique: indexing for linear optimization queries","International Conference on Management of Data","Yuan-Chi Chang, Lawrence Bergman, Vittorio Castelli, Chung-Sheng Li, Ming-Ling Lo, John R. Smith"
"0","On effective multi-dimensional indexing for strings","International Conference on Management of Data","H. V. Jagadish, Nick Koudas, Divesh Srivastava"
"0","A data model and data structures for moving objects databases","International Conference on Management of Data","Luca Forlizzi, Ralf Hartmut G&#252;ting, Enrico Nardelli, Markus Schneider"
"0","Indexing the positions of continuously moving objects","International Conference on Management of Data","Simonas &#352;altenis, Christian S. Jensen, Scott T. Leutenegger, Mario A. Lopez"
"0","Adaptive multi-stage distance join processing","International Conference on Management of Data","Hyoseop Shin, Bongki Moon, Sukho Lee"
"0","Finding replicated Web collections","International Conference on Management of Data","Junghoo Cho, Narayanan Shivakumar, Hector Garcia-Molina"
"0","A chase too far?","International Conference on Management of Data","Lucian Popa, Alin Deutsch, Arnaud Sahuguet, Val Tannen"
"0","WSQ/DSQ: a practical approach for combined querying of databases and the Web","International Conference on Management of Data","Roy Goldman, Jennifer Widom"
"0","A framework for expressing and combining preferences","International Conference on Management of Data","Rakesh Agrawal, Edward L. Wimmers"
"0","Microsoft TerraServer: a spatial data warehouse","International Conference on Management of Data","Tom Barclay, Jim Gray, Don Slutz"
"0","Towards self-tuning data placement in parallel database systems","International Conference on Management of Data","Mong Li Lee, Masaru Kitsuregawa, Beng Chin Ooi, Kian-Lee Tan, Anirban Mondal"
"0","LH*RS: a high-availability scalable distributed data structure using Reed Solomon Codes","International Conference on Management of Data","Witold Litwin, Thomas Schwarz"
"0","Efficient and extensible algorithms for multi query optimization","International Conference on Management of Data","Prasan Roy, S. Seshadri, S. Sudarshan, Siddhesh Bhobe"
"0","Eddies: continuously adaptive query processing","International Conference on Management of Data","Ron Avnur, Joseph M. Hellerstein"
"0","DLFM: a transactional resource manager","International Conference on Management of Data","Hui-I Hsiao, Inderpal Narang"
"0","Going beyond personalization: rule engines at work","International Conference on Management of Data","Eric Kintzer"
"0","Indexing images in Oracle8i","International Conference on Management of Data","Melliyal Annamalai, Rajiv Chopra, Samuel DeFazio, Susan Mavris"
"0","Online index rebuild","International Conference on Management of Data","Nagavamsi Ponnekanti, Hanuma Kodavalla"
"0","Maintenance of cube automatic summary tables","International Conference on Management of Data","Wolfgang Lehner, Richard Sidle, Hamid Pirahesh, Roberta Wolfgang Cochrane"
"0","Benchmarking queries over trees: learning the hard truth the hard way","International Conference on Management of Data","Fanny Wattez, Sophie Cluet, V&#233;ronique Benzaken, Guy Ferran, Christian Fiegel"
"0","Expressing business rules","International Conference on Management of Data","Ronald G. Ross"
"0","Challenges in automating declarative business rules to enable rapid business response","International Conference on Management of Data","Val Huber"
"0","Making B+- trees cache conscious in main memory","International Conference on Management of Data","Jun Rao, Kenneth A. Ross"
"0","Approximating multi-dimensional aggregate range queries over real attributes","International Conference on Management of Data","Dimitrios Gunopulos, George Kollios, Vassilis J. Tsotras, Carlotta Domeniconi"
"0","Counting, enumerating, and sampling of execution plans in a cost-based query optimizer","International Conference on Management of Data","Florian Waas, C&#233;sar Galindo-Legaria"
"0","Congressional samples for approximate answering of group-by queries","International Conference on Management of Data","Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala"
"0","Efficient algorithms for mining outliers from large data sets","International Conference on Management of Data","Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim"
"0","Efficient and cost-effective techniques for browsing and indexing large video databases","International Conference on Management of Data","JungHwan Oh, Kien A. Hua"
"0","Designing and mining multi-terabyte astronomy archives: the Sloan Digital Sky Survey","International Conference on Management of Data","Alexander S. Szalay, Peter Z. Kunszt, Ani Thakar, Jim Gray, Don Slutz, Robert J. Brunner"
"0","Privacy-preserving data mining","International Conference on Management of Data","Rakesh Agrawal, Ramakrishnan Srikant"
"0","Using quantitative information for efficient association rule generation","ACM SIGMOD Record","B. P&#244;ssas, M. Carvalho, R. Resende, W. Meita, Jr."
"0","Object database evolution using separation of concerns","ACM SIGMOD Record","Awais Rashid, Peter Sawyer"
"0","Report on the VLDB workshop on technologies for e-services (TES)","ACM SIGMOD Record","Fabio Casati, Umesh Dayal, Ming-Chien Shan"
"0","Research and practice in federated information systems","ACM SIGMOD Record","W. Hasselbring, W.-J. van den Heuvel, G. J. Houben, R.-D. Kutsche, B. Rieger, M. Roantree, K. Subieta"
"0","Moving up the food chain: supporting e-commerce applications on databases","ACM SIGMOD Record","Anant Jhingran"
"0","A vision for management of complex models","ACM SIGMOD Record","Phillip A. Bernstein, Alon Y. Halevy, Rachel A. Pottinger"
"0","Cache invalidation scheme for mobile computing systems with real-time data","ACM SIGMOD Record","Joe Chun-Hung Yuen, Edward Chan, Kam-Yiu Lam, H. W. Leung"
"0","Theory of answering queries using views","ACM SIGMOD Record","Alon Y. Halevy"
"0","Metadata standards for data warehousing: open information model vs. common warehouse metadata","ACM SIGMOD Record","Thomas Vetterli, Anca Vaduva, Martin Staudt"
"0","Comparative analysis of six XML schema languages","ACM SIGMOD Record","Dongwon Lee, Wesley W. Chu"
"0","Constraint databases: a tutorial introduction","ACM SIGMOD Record","Jan Van den Bussche"
"0","The implementation and performance of compressed databases","ACM SIGMOD Record","Till Westmann, Donald Kossmann, Sven Helmer, Guido Moerkotte"
"0","A new approach to developing and implementing eager database replication protocols","ACM Transactions on Database Systems (TODS)","Bettina Kemme, Gustavo Alonso"
"0","Theory of dependence values","ACM Transactions on Database Systems (TODS)","Rosa Meo"
"0","Knowledge discovery in data warehouses","ACM SIGMOD Record","Themistoklis Palpanas"
"0","An algebraic approach to static analysis of active database rules","ACM Transactions on Database Systems (TODS)","Elena Baralis, Jennifer Widom"
"0","SQL and management of external data","ACM SIGMOD Record","Jim Melton, Jan-Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz, Kathy Zeidenstein"
"0","Report on the fourth international conference on flexible query answering systems (FQAS 2000)","ACM SIGMOD Record","Patrick Bosc, Amihai Motro, Gabriella Pasi"
"0","XML and information retrieval: a SIGIR 2000 workshop","ACM SIGMOD Record","David Carmel, Yoelle Maarek, Aya Soffer"
"0","Report on XEWA-00: the XML enabled wide-area searches for bioinformatics workshop","ACM SIGMOD Record","Terence Critchlow"
"0","Iceberg-cube computation with PC clusters","International Conference on Management of Data","Raymond T. Ng, Alan Wagner, Yu Yin"
"0","On computing correlated aggregates over continual data streams","International Conference on Management of Data","Johannes Gehrke, Flip Korn, Divesh Srivastava"
"0","Efficient computation of Iceberg cubes with complex measures","International Conference on Management of Data","Jiawei Han, Jian Pei, Guozhu Dong, Ke Wang"
"0","The Clio project: managing heterogeneity","ACM SIGMOD Record","Ren&#233;e J. Miller, Mauricio A. Hern&#225;ndez, Laura M. Haas, Lingling Yan, C. T. Howard Ho, Ronald Fagin, Lucian Popa"
"0","Querying multi-dimensional data indexed using the Hilbert space-filling curve","ACM SIGMOD Record","J. K. Lawder, P. J. H. King"
"0","Re-designing distance functions and distance-based applications for high dimensional data","ACM SIGMOD Record","Charu C. Aggarwal"
"0","EIHA?!?: deploying Web and WAP services using XML technology","ACM SIGMOD Record","Chiara Biancheri, Jean-Christophe Pazzaglia, Gavino Paddeu"
"0","New TPC benchmarks for decision support and web commerce","ACM SIGMOD Record","Meikel Poess, Chris Floyd"
"0","Constraints for semistructured data and XML","ACM SIGMOD Record","Peter Buneman, Wenfei Fan, J&#233;r&#244;me Sim&#233;on, Scott Weinstein"
"0","Towards knowledge-based digital libraries","ACM SIGMOD Record","Ling Feng, Marfred A. Jeusfeld, Jeroen Hoppenbrouwers"
"0","Quality of service in multimedia digital libraries","ACM SIGMOD Record","Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Sa&#239;d Hacid"
"0","Infosphere project: system support for information flow applications","ACM SIGMOD Record","Calton Pu, Karsten Schwan, Jonathan Walpole"
"0","Report on NGITS'99: The fourth international workshop on next generation information technologies and systems","ACM SIGMOD Record","Opher Etzion"
"0","Comparative analysis of five XML query languages","ACM SIGMOD Record","Angela Bonifati, Stefano Ceri"
"0","Design and management of data warehouses report on the DMDW'99 workshop","ACM SIGMOD Record","Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou"
"0","Beyond document similarity: understanding value-based search and browsing technologies","ACM SIGMOD Record","Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho"
"0","Timer-driven database triggers and alerters: semantics and a challenge","ACM SIGMOD Record","Eric N. Hanson, Lloyd X. Noronha"
"0","Diluting ACID","ACM SIGMOD Record","Tim Kempster, Colin Stirling, Peter Thanisch"
"0","Some remarks on variable independence, closure, and orthographic dimension in constraint databases","ACM SIGMOD Record","Leonid Libkin"
"0","On views and XML","ACM SIGMOD Record","Serge Abiteboul"
"0","The MLPQ/GIS constraint database system","International Conference on Management of Data","Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang"
"0","Evolution and change in data management - issues and directions","ACM SIGMOD Record","John F. Roddick, Lina Al-Jadir, Leopoldo Bertossi, Marlon Dumas, Florida Estrella, Heidi Gregersen, Kathleen Hornsby, Jens Lufter, Federica Mandreoli, Tomi M&#228;nnist&#246;, Enric Mayol, Lex Wedemeijer"
"0","Generating dynamic content at database-backed web servers: cgi-bin vs. mod_perl","ACM SIGMOD Record","Alexandros Labrinidis, Nick Roussopoulos"
"0","Hierarchies and relative operators in the OLAP environment","ACM SIGMOD Record","Elaheh Pourabbas, Maurizio Rafanelli"
"0","An optimisation scheme for coalesce/valid time selection operator sequences","ACM SIGMOD Record","Costas Vassilakis"
"0","Incremental maintenance of recursive views using relational calculus/SQL","ACM SIGMOD Record","Guozhu Dong, Jianwen Su"
"0","An extensible compressor for XML data","ACM SIGMOD Record","Hartmut Liefke, Dan Suciu"
"0","SQL standardization: the next steps","ACM SIGMOD Record","Andrew Eisenberg, Jim Melton"
"0","Emancipating instances from the tyranny of classes in information modeling","ACM Transactions on Database Systems (TODS)","Jeffrey Parsons, Yair Wand"
"0","Tracing the lineage of view data in a warehousing environment","ACM Transactions on Database Systems (TODS)","Yingwei Cui, Jennifer Widom, Janet L. Wiener"
"0","Report on ISDO '00: the CAiSE*00 workshop on infrastructures for dynamic business-to-business service outsourcing","ACM SIGMOD Record","Heiko Ludwig, Paul Grefen"
"0","Workshop on performance and architecture of web servers","ACM SIGMOD Record","Krishna Kant, Prasant Mohapatra"
"0","Provision of market services for eCo compliant electronic marketplaces","ACM SIGMOD Record","Sena Arpinar, Asuman Dogac"
"0","Report on second international workshop on advanced issues of E-commerce and Web-based information systems","ACM SIGMOD Record","Kun-Lung Wu, Philip S. Yu"
"0","Generating spatiotemporal datasets on the WWW","ACM SIGMOD Record","Yannis Theodoridis, Mario A. Nascimento"
"0","Spatial operators","ACM SIGMOD Record","Eliseo Clementini, Paolino Di Felice"
"0","Practical lessons in supporting large-scale computational science","ACM SIGMOD Record","Ron Musick, Terence Critchlow"
"0","FinTime: a financial time series benchmark","ACM SIGMOD Record","Kaippallimalil J. Jacob, Dennis Shasha"
"0","A survey of logical models for OLAP databases","ACM SIGMOD Record","Panos Vassiliadis, Timos Sellis"
"0","SQLJ  Part 1: SQL routines using the Java programming language","ACM SIGMOD Record","Andrew Eisenberg, Jim Melton"
"0","Iterative dynamic programming: a new class of query optimization algorithms","ACM Transactions on Database Systems (TODS)","Donald Kossmann, Konrad Stocker"
"0","A foundation for representing and querying moving objects","ACM Transactions on Database Systems (TODS)","Ralf Hartmut G&#252;ting, Michael H. B&#246;hlen, Martin Erwig, Christian S. Jensen, Nikos A. Lorentzos, Markus Schneider, Michalis Vazirgiannis"
"0","A cost model for query processing in high dimensional data spaces","ACM Transactions on Database Systems (TODS)","Christian B&#246;hm"
"0","A model for compound type changes encountered in schema evolution","ACM Transactions on Database Systems (TODS)","Barbara Staudt Lerner"
"0","Book reviews","ACM SIGMOD Record","Karl Aberer"
"0","Book review column","ACM SIGMOD Record","Karl Aberer"
"0","Clustering validity checking methods: part II","ACM SIGMOD Record","Maria Halkidi, Yannis Batistakis, Michalis Vazirgiannis"
"0","A study on the management of semantic transaction for efficient data retrieval","ACM SIGMOD Record","Shi Ming Huang, Irene Kwan, Chih He Li"
"0","Database principles","ACM SIGMOD Record","Leonid Libkin"
"0","Automata theory for XML researchers","ACM SIGMOD Record","Frank Neven"
"0","Introduction to constraint databases","ACM SIGMOD Record","Bart Kuijpers"
"0","Foundations of statistical natural language processing","ACM SIGMOD Record","Gerhard Weikum"
"0","Industry perspectives","ACM SIGMOD Record","Len Seligman"
"0","Toward autonomic computing with DB2 universal database","ACM SIGMOD Record","Sam S. Lightstone, Guy Lohman, Danny Zilio"
"0","Distinguished DB profiles","ACM SIGMOD Record","Marianne Winslett"
"0","Hector Garcia-Molina speaks out: regarding startups, how life is getting harder, delta papers, CS in Mexico, life as a department chair, and more","ACM SIGMOD Record","Marianne Winslett"
"0","Standards","ACM SIGMOD Record","Jim Melton"
"0","SQL/MED: a status report","ACM SIGMOD Record","Jim Melton, Jan Eike Michels, Vanja Josifovski, Krishna Kulkarni, Peter Schwarz"
"0","Influential papers","ACM SIGMOD Record","Ken Ross"
"0","Reminiscences on influential papers","ACM SIGMOD Record","Kenneth A. Ross, Theodore Johnson, Richard Thomas Snodgrass"
"0","Top-k selection queries over relational databases: Mapping strategies and performance evaluation","ACM Transactions on Database Systems (TODS)","Nicolas Bruno, Surajit Chaudhuri, Luis Gravano"
"0","Combining fuzzy information: an overview","ACM SIGMOD Record","Ronald Fagin"
"0","Database principles","ACM SIGMOD Record","Leonid Libkin"
"0","SQL/XML is making good progress","ACM SIGMOD Record","Andrew Eisenberg, Jim Melton"
"0","Searching for dependencies at multiple abstraction levels","ACM Transactions on Database Systems (TODS)","Toon Calders, Raymond T. Ng, Jef Wijsen"
"0","Editorial directons","ACM Transactions on Database Systems (TODS)","Won Kim"
"0","Editorial: Charter and scope","ACM Transactions on Database Systems (TODS)","Won Kim"
"0","Locally adaptive dimensionality reduction for indexing large time series databases","ACM Transactions on Database Systems (TODS)","Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani"
"0","Searching in metric spaces with user-defined and approximate distances","ACM Transactions on Database Systems (TODS)","Paolo Ciaccia, Marco Patella"
"0","Understanding the global semantics of referential actions using logic rules","ACM Transactions on Database Systems (TODS)","Wolfgang May, Bertram Lud&#228;scher"
"0","Cost models for overlapping and multiversion structures","ACM Transactions on Database Systems (TODS)","Yufei Tao, Dimitris Papadias, Jun Zhang"
"0","Fast incremental maintenance of approximate histograms","ACM Transactions on Database Systems (TODS)","Phillip B. Gibbons, Yossi Matias, Viswanath Poosala"
"0","The cougar approach to in-network query processing in sensor networks","ACM SIGMOD Record","Yong Yao, Johannes Gehrke"
"0","Articles","ACM SIGMOD Record","Avigdor Gal"
"0","Treasurer's message","ACM SIGMOD Record","Joachim Hammer"
"0","SilkRoute: A framework for publishing relational data in XML","ACM Transactions on Database Systems (TODS)","Mary Fern&#225;ndez, Yana Kadiyska, Dan Suciu, Atsuyuki Morishima, Wang-Chiew Tan"
"0","The Ecobase project: database and web technologies for environmental information systems","ACM SIGMOD Record","Luc Bouganim, Maria Claudia Cavalcanti, Fran&#231;oise Fabret, Maria Luiza Campos, Fran&#231;ois Llirbat, Marta Mattoso, Rubens Melo, Ana Maria Moura, Esther Pacitti, Fabio Porto, Margareth Simoes, Eric Simon, Asterio Tanaka, Patrick Valduriez"
"0","Data analysis and mining in the life sciences","ACM SIGMOD Record","Nam Huyn"
"0","Influential papers","ACM SIGMOD Record","Ken Ross"
"0","Reminiscences on influential papers","ACM SIGMOD Record","Kenneth A. Ross"
"0","Continuous queries over data streams","ACM SIGMOD Record","Shivnath Babu, Jennifer Widom"
"0","Career forum","ACM SIGMOD Record","Alexandros Labrinidis"
"0","Career-enhancing services at SIGMOD online","ACM SIGMOD Record","Alexandros Labrinidis, Alberto O. Mendelzon"
"0","Reminiscences on Influential Papers","ACM SIGMOD Record","Kenneth A. Ross"
"0","Special section on data mining for intrusion detection and threat analysis","ACM SIGMOD Record","Daniel Barbar&#225;"
"0","Special issue on data mining for intrusion detection and threat analysis","ACM SIGMOD Record","Daniel Barbar&#225;"
"0","Data mining-based intrusion detectors: an overview of the columbia IDS project","ACM SIGMOD Record","Salvatore J. Stolfo, Wenke Lee, Philip K. Chan, Wei Fan, Eleazar Eskin"
"0","ADAM: a testbed for exploring the use of data mining in intrusion detection","ACM SIGMOD Record","Daniel Barbar&#225;, Julia Couto, Sushil Jajodia, Ningning Wu"
"0","Detection and classification of intrusions and faults using sequences of system calls","ACM SIGMOD Record","Jo&#227;o B. D. Cabrera, Lundy Lewis, Raman K. Mehra"
"0","Mining system audit data: opportunities and challenges","ACM SIGMOD Record","Wenke Lee, Wei Fan"
"0","Using unknowns to prevent discovery of association rules","ACM SIGMOD Record","Y&#252;cel Saygin, Vassilios S. Verykios, Chris Clifton"
"0","Mining e-mail content for author identification forensics","ACM SIGMOD Record","O. de Vel, A. Anderson, M. Corney, G. Mohay"
"0","Interviewing during a tight job market","ACM SIGMOD Record","Zachary G. Ives, Qiong Luo"
"0","Career forum","ACM SIGMOD Record","Alexandros Labrinidis"
"0","Database research at the University of Illinois at Urbana-Champaign","ACM SIGMOD Record","M. Winslett, K. Chang, A. Doan, J. Han, C. Zhai, Y. Zhou"
"0","Research centers","ACM SIGMOD Record","Amit Sheth"
"0","Reminiscences on Influential Papers","ACM SIGMOD Record","Kenneth A. Ross"
"0","Research activities in database management and information retrieval at University of Illinois at Chicago","ACM SIGMOD Record","Isabel Cruz, Ashfaq Khokhar, Bing Liu, Prasad Sistla, Ouri Wolfson, Clement Yu"
"0","XQuery formal semantics state and challenges","ACM SIGMOD Record","Peter Fankhauser"
"0","Advanced XML data processing: guest editor's introduction","ACM SIGMOD Record","Karl Aberer"
"0","Why and how to benchmark XML databases","ACM SIGMOD Record","Albrecht Schmidt, Florian Waas, Martin Kersten, Daniela Florescu, Michael J. Carey, Ioana Manolescu, Ralph Busse"
"0","A general technique for querying XML documents using a relational database system","ACM SIGMOD Record","Jayavel Shanmugasundaram, Eugene Shekita, Jerry Kiernan, Rajasekar Krishnamurthy, Efstratios Viglas, Jeffrey Naughton, Igor Tatarinov"
"0","On database theory and XML","ACM SIGMOD Record","Dan Suciu"
"0","Wrapping web data into XML","ACM SIGMOD Record","Wei Han, David Buttler, Calton Pu"
"0","Preservation of digital data with self-validating, self-instantiating knowledge-based archives","ACM SIGMOD Record","Bertram Lud&#228;scher, Richard Marciano, Reagan Moore"
"0","XML document versioning","ACM SIGMOD Record","Shu Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo"
"0","The evolution of effective B-tree: page organization and techniques: a personal account","ACM SIGMOD Record","David Lomet"
"0","Articles","ACM SIGMOD Record","Avigdor Gal"
"0","The aditi deductive database system","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Jayen Vaghani, Kotagiri Ramamohanarao, David B. Kemp, Zoltan Somogyi, Peter J. Stuckey, Tim S. Leask, James Harland"
"0","Efficiently instantiating view-objects from remote relational databases","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Byung Suk Lee, Gio Wiederhold"
"0","The CORAL deductive system","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Raghu Ramakrishnan, Divesh Srivastava, S. Sudarshan, Praveen Seshadri"
"0","DECLARE and SDS: early efforts to commercialize deductive database technology","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Werner Kie&#223;ling, Helmut Schmidt, Werner Strau&#223;, Gerhard D&#252;nzinger"
"0","An introduction to deductive database languages and systems","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Kotagiri Ramamohanarao, James Harland"
"0","The glue-nail deductive database system: design, implementation, and evaluation","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Marcia A. Derr, Shinichi Morishita, Geoffrey Phipps"
"0","Versioning and configuration management in an object-oriented data model","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Edward Sciore"
"0","Special issue on prototypes of deductive database systems","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","K. Ramamohanarao"
"0","Qualitative representation of spatial knowledge in two-dimensional space","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Dimitris Papadias, Timos Sellis"
"0","The TV-tree: an index structure for high-dimensional data","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","King Ip Lin, H. V. Jagadish, Christos Faloutsos"
"0","Management of multidimensional discrete data","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Peter Baumann"
"0","A semantic modeling approach for image retrieval by content","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Wesley W. Chu, Ion T. Ieong, Ricky K. Taira"
"0","Special issue on spatial database systems","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","H. J. Schek"
"0","An introduction to spatial database systems","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Ralf Hartmut G&#252;ting"
"0","The demarcation protocol: a technique for maintaining constraints in distributed database systems","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Daniel Barbar&#225;-Mill&#225;, Hector Garcia-Molina"
"0","Index configuration in object-oriented databases","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Elisa Bertino"
"0","SQL multimedia and application packages (SQL/MM)","ACM SIGMOD Record","Jim Melton, Andrew Eisenberg"
"0","Standards","ACM SIGMOD Record","Andrew Eisenberg"
"0","Describing semistructured data","ACM SIGMOD Record","Luca Cardelli"
"0","Database principles","ACM SIGMOD Record","Leonid Libkin"
"0","Information warfare and security","ACM SIGMOD Record","H. V. Jagadish"
"0","Transactional information systems: theory, algorithms, and the practice of concurrency control and recovery","ACM SIGMOD Record","Marc H. Scholl"
"0","Book review column","ACM SIGMOD Record","Karl Aberer"
"0","Book reviews","ACM SIGMOD Record","Karl Aberer"
"0","A pattern-based object calculus","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Nabil Kamel, Ping Wu, Stanley Y. W. Su"
"0","Dynamic maintenance of data distribution for selectivity estimation","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Kyu Young Whang, Sang Wook Kim, Gio Wiederhold"
"0","Chronological scheduling of transactions with temporal dependencies","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Dimitrios Georgakopoulos, Marek Rusinkiewicz, Witold Litwin"
"0","Research in multi-organizational processes and semantic information brokering at the LSDIS lab","ACM SIGMOD Record","Amit Sheth, John Miller, Krys Kochut, Budak Arpinar"
"0","Research centers","ACM SIGMOD Record","Amit Sheth"
"0","On the academic interview circuit: an end-to-end discussion","ACM SIGMOD Record","U&#287;ur &#199;etintemel"
"0","Career forum","ACM SIGMOD Record","Alexandros Labrinidis"
"0","Java support for data-intensive systems: experiences building the telegraph dataflow system","ACM SIGMOD Record","Mehul A. Shah, Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein"
"0","Special section on semantic web and data management","ACM SIGMOD Record","Robert Meersman, Amit Sheth"
"0","Data modelling versus ontology engineering","ACM SIGMOD Record","Peter Spyns, Robert Meersman, Mustafa Jarrar"
"0","Methodology for development and employment of ontology based knowledge management applications","ACM SIGMOD Record","York Sure, Steffen Staab, Rudi Studer"
"0","A conceptual architecture for semantic web enabled web services","ACM SIGMOD Record","Christoph Bussler, Dieter Fensel, Alexander Maedche"
"0","Sleepers and workaholics: caching strategies in mobile environments (extended version)","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Daniel Barbar&#225;, Tomasz Imieli&#324;ski"
"0","AlphaSort: a cache-sensitive parallel external sort","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Chris Nyberg, Tom Barclay, Zarka Cvetanovic, Jim Gray, Dave Lomet"
"0","QuickStore: a high performance mapped object store","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Seth J. White, David J. DeWitt"
"0","Estimating page fetches for index scans with finite LRU buffers","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Arun Swami, K. Bernhard Schiefer"
"0","Emergent semantics and the multimedia semantic web","ACM SIGMOD Record","W. I. Grosky, D. V. Sreenath, F. Fotouhi"
"0","Querying multiple bioinformatics information sources: can semantic web research help?","ACM SIGMOD Record","David Buttler, Matthew Coleman, Terence Critchlow, Renato Fileto, Wei Han, Calton Pu, Daniel Rocco, Li Xiong"
"0","The Grid: an application of the semantic web","ACM SIGMOD Record","Carole Goble, David De Roure"
"0","Book reviews","ACM SIGMOD Record","Karl Aberer"
"0","Agents, trust, and information access on the semantic web","ACM SIGMOD Record","Tim Finin, Anupam Joshi"
"0","Conceptual model of web service reputation","ACM SIGMOD Record","E. Michael Maximilien, Munindar P. Singh"
"0","The &#961; operator: discovering and ranking associations on the semantic web","ACM SIGMOD Record","Kemafor Anyanwu, Amit Sheth"
"0","A framework for semantic gossiping","ACM SIGMOD Record","Karl Aberer, Philippe Cudr&#233;-Mauroux, Manfred Hauswirth"
"0","Updating knowledge bases while maintaining their consistency","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Ernest Teniente, Antoni Oliv&#233;"
"0","Data model for extensible support of explicit relationships in design databases","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Joan Peckham, Bonnie MacKellar, Michael Doherty"
"0","InterViso: dealing with the complexity of federated database access","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer"
